label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	716.03	-79.57	-328030.87	716.03	225000.00	795.60	0.00	225000.00	0.9216	0.00	-302298.16	3176855.30	2951855.30	2015	0.9216	-328030.87	3176855.30	M696	3247592.00	2945293.84	2945293.84
0.00	0.00	541.88	14.67	60491.21	541.88	225000.00	527.21	0.00	225000.00	0.8372	0.00	50645.91	2458929.36	2233929.36	2015	0.8372	60491.21	2458929.36	M825	2044698.00	2095343.91	2095343.91
0.00	0.00	568.25	-29.72	-122535.30	568.25	225000.00	597.97	0.00	225000.00	0.8168	0.00	-100086.63	2567617.12	2342617.12	2015	0.8168	-122535.30	2567617.12	M839	2238532.00	2138445.37	2138445.37
0.00	0.00	277.79	66.70	274974.85	277.79	225000.00	211.09	0.00	225000.00	0.9355	0.00	257249.69	1370221.75	1145221.75	2015	0.9355	274974.85	1370221.75	M859	1039150.00	1296399.69	1296399.69
0.00	0.00	689.99	7.67	31619.30	689.99	225000.00	682.32	0.00	225000.00	0.8317	0.00	26297.51	3069499.09	2844499.09	2015	0.8317	31619.30	3069499.09	M860	2564449.00	2590746.51	2590746.51
0.00	0.00	455.59	-4.33	-17857.86	455.59	225000.00	459.93	0.00	225000.00	0.8696	0.00	-15529.91	2103204.31	1878204.31	2015	0.8696	-17857.86	2103204.31	M862	1873891.00	1858361.09	1858361.09
0.00	0.00	533.65	-1.96	-8074.37	533.65	225000.00	535.61	0.00	225000.00	0.8282	0.00	-6687.06	2425001.56	2200001.56	2015	0.8282	-8074.37	2425001.56	M896	2053692.00	2047004.94	2047004.94
0.00	0.00	360.73	4.50	18545.43	360.73	225000.00	356.24	0.00	225000.00	1.0064	0.00	18545.42	1712143.57	1487143.57	2015	1	18545.43	1712143.57	M964	1703134.00	1721679.42	1721679.42
0.00	0.00	833.47	-28.85	-118942.15	833.47	225000.00	862.32	0.00	225000.00	0.8698	0.00	-103458.94	3661013.83	3436013.83	2015	0.8698	-118942.15	3661013.83	Q002	3317192.00	3213733.06	3213733.06
0.00	0.00	2535.83	191.45	789264.05	2535.83	225000.00	2344.38	0.00	225000.00	0.8159	0.00	643967.06	10679087.45	10454087.45	2015	0.8159	789264.05	10679087.45	Q005	8110609.00	8754576.06	8754576.06
0.00	0.00	1634.37	-33.01	-136104.30	1634.37	225000.00	1667.39	0.00	225000.00	0.81	0.00	-110244.51	6962776.18	6737776.18	2015	0.81	-136104.30	6962776.18	Q007	5792844.00	5682599.49	5682599.49
0.00	0.00	779.29	-171.65	-707642.32	779.29	225000.00	950.95	0.00	225000.00	0.81	0.00	-573190.35	3437675.97	3212675.97	2015	0.81	-707642.32	3437675.97	Q008	3400458.00	2827267.65	2827267.65
